concert_id,date,venue,city,orchestra,conductor,soloists,programme_type,ticket_price,currency,rating,companion,notes
1,2025-05-08,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Christoph Koncz,Gautier Capucon (cello),Symphony,,,,"Also performed on 2025-05-09. Part of French May Arts Festival."
2,2026-04-24,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Tarmo Peltokoski,Leila Josefowicz (violin),Symphony,,,,
3,2026-05-01,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Esa-Pekka Salonen,Stefan Dohr (horn),Symphony,,,,
4,2026-05-15,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Michael Sanderling,Richard Bamping (cello),Symphony,,,,
5,2026-05-22,Hong Kong City Hall Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Francois-Frederic Guy,Francois-Frederic Guy (piano),Piano Concertos,,,,
6,2026-05-23,Hong Kong City Hall Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Francois-Frederic Guy,Francois-Frederic Guy (piano),Piano Concertos,,,,
7,2026-07-03,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Tarmo Peltokoski,"Chen Reiss (soprano), Andre Schuen (bass-baritone)",Symphony with Voices,,,,
8,2025-09-27,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Yu Long,Behzod Abduraimov (piano),Symphony,,,,
9,2025-12-11,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Tarmo Peltokoski,Lang Lang (piano),Symphony,,,,
10,2026-01-17,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Kahchun Wong,,Symphony,,,,
11,2026-06-02,Hong Kong Cultural Centre Concert Hall,Hong Kong,Gewandhausorchester Leipzig,Andris Nelsons,Yulianna Avdeeva (piano),Symphony,,,,
12,2026-06-03,Hong Kong Cultural Centre Concert Hall,Hong Kong,Gewandhausorchester Leipzig,Andris Nelsons,Yulianna Avdeeva (piano),Symphony,,,,
13,2026-09-09,Hong Kong Cultural Centre Concert Hall,Hong Kong,Hong Kong Philharmonic Orchestra,Lio Kuokman,Eric Lu (piano),Symphony,,,,
